City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dikson,100,RU,1574705994,72,73.51,80.55,3.99,3.56
Takoradi,0,GH,1574705995,79,4.89,-1.75,81.68,11.34
Antofagasta,20,CL,1574705728,72,-23.65,-70.4,68.0,19.46
Bluff,0,AU,1574705997,84,-23.58,149.07,68.13,7.47
Snezhnogorsk,75,RU,1574705998,94,69.19,33.23,32.0,6.71
Geraldton,90,CA,1574705999,92,49.72,-86.95,23.0,10.29
Punta Arenas,90,CL,1574706001,87,-53.16,-70.91,50.0,14.99
Jamestown,65,AU,1574706002,72,-33.21,138.6,50.4,20.6
Arlit,0,NE,1574706003,11,18.74,7.39,89.28,8.68
Ushuaia,75,AR,1574705813,50,-54.81,-68.31,57.2,10.29
Ceres,38,BR,1574706005,67,-15.31,-49.6,82.81,7.94
Kaitangata,41,NZ,1574706006,76,-46.28,169.85,53.33,13.02
Mataura,24,NZ,1574706007,77,-46.19,168.86,55.99,7.0
Bethel,90,US,1574706008,92,60.79,-161.76,23.0,10.29
Tongchuan,40,CN,1574706010,64,34.9,108.95,37.4,6.71
Provideniya,100,RU,1574706011,96,64.42,-173.23,25.32,26.73
Barrow,100,AR,1574706012,91,-38.31,-60.23,59.27,11.27
Rikitea,100,PF,1574706013,67,-23.12,-134.97,72.55,12.86
Cabo San Lucas,20,MX,1574705760,57,22.89,-109.91,80.01,4.7
Mahebourg,40,MU,1574706015,83,-20.41,57.7,79.0,11.41
Buraydah,0,SA,1574706016,88,26.33,43.97,66.2,8.05
Busselton,21,AU,1574706017,43,-33.64,115.35,59.0,11.72
Pak Phanang,100,TH,1574706018,88,8.35,100.2,76.24,0.16
Vaini,0,IN,1574706020,75,15.34,74.49,68.07,7.54
Chuy,80,UY,1574706021,59,-33.69,-53.46,71.92,17.4
Albany,75,US,1574705878,61,42.65,-73.75,48.99,6.93
Kodiak,1,US,1574706023,47,39.95,-94.76,55.4,18.34
Ouadda,50,CF,1574706024,37,8.07,22.4,73.04,3.2
Hermanus,0,ZA,1574706025,85,-34.42,19.24,64.99,4.0
Hay River,90,CA,1574706026,85,60.82,-115.79,15.8,5.82
Talnakh,75,RU,1574706028,84,69.49,88.39,1.4,26.84
Rocha,99,UY,1574706029,59,-34.48,-54.34,71.62,16.62
Julio de Castilhos,0,BR,1574706030,51,-29.23,-53.68,84.2,13.87
Tuktoyaktuk,90,CA,1574706031,84,69.44,-133.03,5.0,18.34
Victoria,75,BN,1574706032,88,5.28,115.24,77.0,12.24
Leningradskiy,100,RU,1574706033,76,69.38,178.42,4.42,11.65
Hambantota,96,LK,1574706034,79,6.12,81.12,81.36,20.42
Lorengau,66,PG,1574706036,76,-2.02,147.27,82.56,11.99
Eureka,20,US,1574706037,76,40.8,-124.16,52.0,11.41
Te Anau,78,NZ,1574706038,86,-45.41,167.72,49.64,6.15
Puerto Ayora,20,EC,1574706039,61,-0.74,-90.35,80.6,19.46
Chokurdakh,96,RU,1574706040,99,70.62,147.9,-31.43,7.76
Blackwater,75,GB,1574706041,93,51.33,-0.78,53.6,4.7
Pacific Grove,1,US,1574706042,62,36.62,-121.92,59.0,4.7
Kendari,0,ID,1574706044,94,-3.99,122.52,73.29,2.08
Huilong,100,CN,1574706045,84,31.15,106.5,47.32,5.03
Bonnyville,75,CA,1574706046,86,54.27,-110.74,26.6,6.93
Hobart,90,AU,1574706005,93,-42.88,147.33,53.01,14.99
Mantua,0,IT,1574706048,81,45.16,10.79,61.0,6.93
Cape Town,0,ZA,1574705909,64,-33.93,18.42,68.0,5.82
Tuatapere,56,NZ,1574706051,78,-46.13,167.69,55.99,7.0
Namibe,59,AO,1574706052,73,-15.19,12.15,72.82,5.59
Peniche,75,PT,1574706053,93,39.36,-9.38,62.6,5.82
Naze,75,NG,1574706054,79,5.43,7.07,84.2,8.05
Alofi,100,NU,1574706055,94,-19.06,-169.92,73.4,9.17
Timizart,100,DZ,1574706057,81,36.8,4.25,62.15,24.83
Saint-Pierre,90,FR,1574706058,87,48.95,4.24,50.0,11.41
Luang Prabang,11,LA,1574706059,86,19.89,102.14,60.37,1.36
Gobabis,93,NA,1574706060,47,-22.45,18.97,75.31,21.5
Chodavaram,0,IN,1574706061,96,17.44,81.78,65.46,3.18
Bud,100,NO,1574706062,77,62.91,6.91,41.0,6.93
Nalut,0,LY,1574706063,40,31.86,10.98,56.34,11.07
Sitka,8,US,1574706064,46,37.17,-99.65,52.0,5.01
Severo-Kurilsk,92,RU,1574706065,84,50.68,156.12,19.74,31.56
